,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,100000.0,100.0,500.0,0.4997952023517769,0.0547095733900232,0.0466191325984478,4.35636233052606e-05,-4.552814990099531e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0004097631334985,100.04097631334984,3231323534921200.0,1750717085483622.2,1160475325234858.0,0.0700881381276114,0.0379734494499442,0.0251709722068201,0.0391921800073773,0.021234153254771,0.0140752101574482
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,100000.0,100.0,501.0,0.5003325344266614,0.0581370366263829,0.0516790129096428,-1.3982135269380528e-05,-8.081428303777661e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.00133404391562,100.133404391562,3234308961847452.5,1752334576852335.0,1161547490942119.2,0.0702153509316467,0.0380423727957838,0.0252166585389195,0.0392818929445585,0.0212827593352871,0.0141074290451046
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,100000.0,100.0,502.0,0.5014590970351946,0.0619448990441717,0.0516145503286609,-0.0002285856479337,-4.9518035652868976e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.00107865819566,100.10786581956602,3233484065971982.0,1751887651842405.2,1161251243506966.0,0.0703710885496047,0.0381267507621697,0.0252725890766382,0.0393720175391977,0.0213315884500297,0.0141397957725911
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,100000.0,100.0,503.0,0.5027023065687217,0.0559015722417525,0.0452168207108615,0.0001148986270885,7.92742444062473e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.000592186324567,100.0592186324567,3231912761828351.5,1751036326067992.2,1160686936136497.8,0.0705112700008987,0.0382027004648831,0.0253229328795797,0.0394625566312122,0.0213806421376537,0.0141723113598161
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,100000.0,100.0,504.0,0.502550115859492,0.0627070768166402,0.0446253423937642,-1.127377838157401e-05,-7.989092930567374e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0028850538379208,100.28850538379209,3239318723896484.0,1755048844216361.2,1163346662451988.0,0.0706566678913135,0.0382814764117023,0.0253751500786141,0.0395535130867022,0.0214299219509996,0.0142049768360912
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,100000.0,100.0,505.0,0.5045723934177317,0.0583118800613148,0.0441350155959896,-6.870938909157447e-05,-0.0001231480099106,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0008474632933675,100.08474632933678,3232737306437578.0,1751483060763393.8,1160983057420306.8,0.0708099266656812,0.0383645113513752,0.025430190381483,0.0396448897982529,0.0214794294572577,0.0142377932402394
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,100000.0,100.0,506.0,0.5057002167388873,0.0567089482546951,0.0464563608917105,1.6041563807745822e-05,-3.395860660067088e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005928082511926,100.05928082511926,3231914770651352.0,1751037414439587.0,1160687657571383.5,0.0709370514940568,0.0384333870323837,0.0254758451186086,0.0397366896852411,0.0215291662381337,0.0142707616207057
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,100000.0,100.0,507.0,0.5067136610556986,0.0615757284739815,0.0482110833292542,-2.484836222946751e-07,0.0001024187224609,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005650902399292,100.05650902399292,3231825241474971.5,1750988907919876.2,1160655504678318.0,0.0710772432954284,0.0385093423427243,0.0255261926386058,0.0398289156941464,0.0215791338900174,0.0143038830356687
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,100000.0,100.0,508.0,0.5073292956701039,0.0580099036141345,0.0448434575196331,-4.958256622690885e-05,-0.0001344774905321,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0013220295686065,100.13220295686064,3234270155506598.5,1752313551745061.2,1161533554299583.2,0.0712226929362314,0.0385881463276795,0.025578428422919,0.0399215707988664,0.0216293340241536,0.0143371585531532
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,100000.0,100.0,509.0,0.5056345833070282,0.0566803910195401,0.0454789856373477,-7.265536832755433e-05,1.6592042917871036e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0066558277540292,100.66558277540292,3251498323645514.0,1761647698569551.0,1167720760194673.8,0.0713786996562074,0.0386726700923724,0.0256344556040868,0.0400146580010361,0.0216797682668152,0.0143705892511461
10,10,2.25,0.02,510,100000.0,17.15,2.43,0.81,,100000.0,100.0,510.0,0.5093017423152446,0.0575206676784359,0.0441541083430852,-8.743199047445934e-05,1.7014067218703687e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0013710098095898,100.137100980959,3234428361684975.5,1752399267166782.2,1161590371379124.2,0.0715189328578896,0.0387486478332219,0.0256848179923071,0.0401081803303523,0.0217304382594788,0.0144041762177116
11,11,2.25,0.02,511,100000.0,17.15,2.43,0.81,,100000.0,100.0,511.0,0.51031507407356,0.0544461489339077,0.0454006059247686,-4.498743701349017e-07,-0.0001014712761526,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0013421628347612,100.13421628347612,3234335185956278.5,1752348784960832.0,1161556908888323.2,0.0716618105044037,0.0388260583228193,0.0257361300882688,0.0401966074561097,0.0217783476929387,0.0144359333278908
